route_id,origin,destination,distance_nm,transit_days,transshipments,route_type,base_freight_usd
R0110,Colombo,Vancouver,10676,34,3,Express,4279
R0111,Colombo,Durban,4722,16,0,Standard,1237
R0112,Colombo,Cape Town,4466,15,1,Standard,1407
R0113,Colombo,Jeddah,2536,8,1,Standard,1030
R0114,Colombo,Muscat,2567,8,0,Express,680
R0115,Colombo,Suez,2351,11,1,Standard,1037
R0116,Colombo,Port Klang,2650,11,1,Alternative,911
R0117,Singapore,Chennai,2464,10,1,Alternative,756
R0118,Singapore,Mumbai,2665,9,1,Alternative,907
R0119,Singapore,Kochi,2419,11,2,Express,1066
R0120,Singapore,Colombo,2523,8,1,Standard,778
R0121,Singapore,Shanghai,2600,14,3,Economy,1283
R0122,Singapore,Ningbo,2807,9,1,Economy,828
R0123,Singapore,Busan,2465,9,1,Standard,974
R0124,Singapore,Hong Kong,2629,8,0,Economy,820
R0125,Singapore,Dubai,4411,15,1,Standard,1485
R0126,Singapore,Rotterdam,9401,27,1,Alternative,3288
R0127,Singapore,Hamburg,9840,32,1,Economy,3505
R0128,Singapore,Antwerp,10749,30,0,Standard,3375
R0129,Singapore,London,9957,28,1,Economy,3056
R0130,Singapore,Felixstowe,10685,35,1,Economy,2877
R0131,Singapore,Piraeus,9558,29,0,Standard,2957
R0132,Singapore,Barcelona,10554,32,1,Standard,2773
R0133,Singapore,Genoa,9401,30,1,Standard,2608
R0134,Singapore,New York,12753,39,1,Economy,3208
R0135,Singapore,Los Angeles,12101,36,1,Alternative,3334
R0136,Singapore,Long Beach,11502,37,1,Express,3178
R0137,Singapore,Sydney,4604,14,0,Economy,1336
R0138,Singapore,Melbourne,4832,16,2,Express,1867
R0139,Singapore,Vancouver,12849,37,1,Standard,4235
R0140,Singapore,Durban,6365,21,1,Standard,2159
R0141,Singapore,Cape Town,6690,21,0,Standard,2083
R0142,Singapore,Jeddah,4189,14,1,Alternative,1500
R0143,Singapore,Muscat,4475,13,1,Express,1592
R0144,Singapore,Suez,4275,12,0,Economy,1296
R0145,Singapore,Port Klang,2639,9,1,Standard,1026
R0146,Shanghai,Chennai,2466,10,2,Standard,1253
R0147,Shanghai,Mumbai,2653,14,2,Standard,1250
R0148,Shanghai,Kochi,2376,9,2,Economy,1112
R0149,Shanghai,Colombo,2636,9,1,Economy,778
R0150,Shanghai,Singapore,2426,10,1,Standard,957
R0151,Shanghai,Ningbo,2540,15,3,Express,1041
R0152,Shanghai,Busan,2685,8,0,Express,749
R0153,Shanghai,Hong Kong,2544,10,1,Standard,915
R0154,Shanghai,Dubai,4692,12,0,Economy,1111
R0155,Shanghai,Rotterdam,9299,28,0,Standard,2486
R0156,Shanghai,Hamburg,9736,29,1,Standard,3188
R0157,Shanghai,Antwerp,10679,33,1,Standard,3462
R0158,Shanghai,London,10214,31,0,Standard,2470
R0159,Shanghai,Felixstowe,10731,38,3,Economy,4470
R0160,Shanghai,Piraeus,9990,28,1,Alternative,3498
R0161,Shanghai,Barcelona,10516,36,3,Alternative,3341
R0162,Shanghai,Genoa,9937,34,3,Standard,3134
R0163,Shanghai,New York,11995,34,0,Standard,3477
R0164,Shanghai,Los Angeles,13461,37,0,Standard,3221
R0165,Shanghai,Long Beach,12342,38,2,Economy,3453
R0166,Shanghai,Sydney,4587,19,2,Alternative,2022
R0167,Shanghai,Melbourne,4687,19,3,Express,1955
R0168,Shanghai,Vancouver,12008,36,1,Alternative,3167
R0169,Shanghai,Durban,6139,19,1,Alternative,1841
R0170,Shanghai,Cape Town,6508,20,0,Standard,2206
R0171,Shanghai,Jeddah,4143,20,3,Alternative,1700
R0172,Shanghai,Muscat,4771,12,0,Standard,1412
R0173,Shanghai,Suez,4560,13,0,Express,1138
R0174,Shanghai,Port Klang,2500,12,3,Standard,1513
R0175,Ningbo,Chennai,2440,7,0,Express,573
R0176,Ningbo,Mumbai,2315,13,2,Alternative,1149
R0177,Ningbo,Kochi,2571,6,0,Express,600
R0178,Ningbo,Colombo,2519,6,0,Economy,689
R0179,Ningbo,Singapore,2456,10,1,Standard,841
R0180,Ningbo,Shanghai,2562,9,1,Express,894
R0181,Ningbo,Busan,2628,10,1,Economy,1159
R0182,Ningbo,Hong Kong,2543,9,0,Economy,642
R0183,Ningbo,Dubai,4453,11,0,Economy,1069
R0184,Ningbo,Rotterdam,10613,31,1,Alternative,2637
R0185,Ningbo,Hamburg,10225,31,1,Standard,3683
R0186,Ningbo,Antwerp,10007,28,0,Express,2875
R0187,Ningbo,London,9307,30,1,Economy,3258
R0188,Ningbo,Felixstowe,9516,29,0,Standard,2694
R0189,Ningbo,Piraeus,10172,31,2,Economy,3689
R0190,Ningbo,Barcelona,10519,31,0,Alternative,3131
R0191,Ningbo,Genoa,10527,28,0,Alternative,3508
R0192,Ningbo,New York,12267,34,0,Alternative,3800
R0193,Ningbo,Los Angeles,11885,37,1,Standard,3356
R0194,Ningbo,Long Beach,12699,39,1,Express,3514
R0195,Ningbo,Sydney,4447,17,2,Express,1447
R0196,Ningbo,Melbourne,4143,13,1,Economy,1600
R0197,Ningbo,Vancouver,13138,45,3,Alternative,3951
R0198,Ningbo,Durban,6114,18,1,Express,1933
R0199,Ningbo,Cape Town,6663,17,0,Alternative,2070
R0200,Ningbo,Jeddah,4659,15,0,Standard,1530
R0201,Ningbo,Muscat,4825,16,0,Standard,1638
R0202,Ningbo,Suez,4639,12,0,Alternative,1519
R0203,Ningbo,Port Klang,2790,15,3,Alternative,1331
R0204,Busan,Chennai,2326,8,1,Express,934
R0205,Busan,Mumbai,2662,9,1,Alternative,1117
R0206,Busan,Kochi,2383,9,1,Alternative,704
R0207,Busan,Colombo,2461,12,2,Express,1094
R0208,Busan,Singapore,2722,12,1,Standard,960
R0209,Busan,Shanghai,2542,14,3,Economy,1722
R0210,Busan,Ningbo,2765,12,1,Economy,945
R0211,Busan,Hong Kong,2804,10,1,Alternative,1094
R0212,Busan,Dubai,4306,14,1,Standard,1414
R0213,Busan,Rotterdam,10223,36,3,Express,3659
R0214,Busan,Hamburg,9439,29,1,Economy,2661
R0215,Busan,Antwerp,9411,25,0,Standard,2167
R0216,Busan,London,9686,30,1,Express,2845
R0217,Busan,Felixstowe,10143,29,0,Express,2863
R0218,Busan,Piraeus,9223,33,3,Alternative,2927
R0219,Busan,Barcelona,10221,35,3,Express,2954
R0220,Busan,Genoa,9290,33,3,Express,3490
R0221,Busan,New York,13374,41,2,Economy,4627
R0222,Busan,Los Angeles,11623,32,0,Economy,2877
R0223,Busan,Long Beach,13058,35,0,Alternative,3290
R0224,Busan,Sydney,4603,19,2,Economy,1505
R0225,Busan,Melbourne,4186,19,2,Standard,1740
R0226,Busan,Vancouver,12931,38,0,Economy,4034
R0227,Busan,Durban,6064,20,2,Economy,2391
R0228,Busan,Cape Town,6222,17,0,Standard,1944
R0229,Busan,Jeddah,4819,15,1,Standard,1613
R0230,Busan,Muscat,4634,15,1,Express,1867
R0231,Busan,Suez,4296,13,1,Standard,1731
R0232,Busan,Port Klang,2701,7,0,Express,737
R0233,Hong Kong,Chennai,2396,13,3,Economy,994
R0234,Hong Kong,Mumbai,2643,10,1,Alternative,851
R0235,Hong Kong,Kochi,2457,10,1,Standard,719
R0236,Hong Kong,Colombo,2311,6,0,Alternative,568
R0237,Hong Kong,Singapore,2405,8,0,Standard,748
R0238,Hong Kong,Shanghai,2748,13,3,Express,1629
R0239,Hong Kong,Ningbo,2763,7,0,Economy,698
R0240,Hong Kong,Busan,2406,15,3,Standard,1240
R0241,Hong Kong,Dubai,4484,15,0,Standard,1350
R0242,Hong Kong,Rotterdam,9711,28,1,Express,2680
R0243,Hong Kong,Hamburg,9277,34,3,Express,3681
R0244,Hong Kong,Antwerp,10006,35,3,Express,2950
R0245,Hong Kong,London,9250,28,1,Standard,3081
R0246,Hong Kong,Felixstowe,10106,33,2,Standard,3066
R0247,Hong Kong,Piraeus,9202,27,0,Express,3106
R0248,Hong Kong,Barcelona,9756,29,0,Economy,3130
R0249,Hong Kong,Genoa,9991,31,1,Express,2781
R0250,Hong Kong,New York,11929,38,2,Alternative,3412
R0251,Hong Kong,Los Angeles,13034,40,1,Standard,3710
R0252,Hong Kong,Long Beach,13357,42,2,Standard,4411
R0253,Hong Kong,Sydney,4288,16,1,Economy,1420
R0254,Hong Kong,Melbourne,4847,20,2,Alternative,1686
R0255,Hong Kong,Vancouver,13009,42,3,Standard,3877
R0256,Hong Kong,Durban,6883,20,1,Express,2212
R0257,Hong Kong,Cape Town,6248,17,0,Alternative,1879
R0258,Hong Kong,Jeddah,4311,12,0,Express,1325
R0259,Hong Kong,Muscat,4584,20,2,Alternative,1927
R0260,Hong Kong,Suez,4516,13,0,Alternative,1133
R0261,Hong Kong,Port Klang,2789,11,0,Alternative,673
R0262,Dubai,Chennai,2266,8,0,Express,630
R0263,Dubai,Mumbai,2250,6,0,Express,614
R0264,Dubai,Kochi,2213,14,3,Economy,1414
R0265,Dubai,Colombo,2322,6,0,Alternative,723
R0266,Dubai,Singapore,4673,21,3,Economy,2172
R0267,Dubai,Shanghai,4443,14,0,Alternative,1335
R0268,Dubai,Ningbo,4451,17,1,Standard,1344
R0269,Dubai,Busan,4653,17,2,Alternative,1719
R0270,Dubai,Hong Kong,4154,18,3,Economy,2227
R0271,Dubai,Rotterdam,5696,22,2,Express,2004
R0272,Dubai,Hamburg,6392,17,0,Standard,1623
R0273,Dubai,Antwerp,6271,16,0,Express,1839
R0274,Dubai,London,5717,19,1,Standard,2069
R0275,Dubai,Felixstowe,5849,20,2,Economy,2186
R0276,Dubai,Piraeus,6013,18,0,Express,1550
R0277,Dubai,Barcelona,5904,17,0,Standard,1631
R0278,Dubai,Genoa,6168,18,1,Express,1827
R0279,Dubai,New York,11239,36,1,Alternative,3991
R0280,Dubai,Los Angeles,10016,30,0,Standard,3003
R0281,Dubai,Long Beach,10739,36,2,Alternative,3183
R0282,Dubai,Sydney,7667,28,3,Economy,2732
R0283,Dubai,Melbourne,7680,27,3,Economy,2989
R0284,Dubai,Vancouver,10843,37,2,Express,3750
R0285,Dubai,Durban,3682,14,2,Express,1476
R0286,Dubai,Cape Town,3987,15,1,Standard,1413
R0287,Dubai,Jeddah,823,3,1,Standard,450
R0288,Dubai,Muscat,889,4,0,Express,450
R0289,Dubai,Suez,811,3,0,Express,450
R0290,Dubai,Port Klang,4755,13,0,Economy,1174
R0291,Rotterdam,Chennai,6891,22,1,Alternative,2456
R0292,Rotterdam,Mumbai,7315,24,2,Express,2710
R0293,Rotterdam,Kochi,6528,26,3,Economy,1975
R0294,Rotterdam,Colombo,6736,19,0,Alternative,1962
R0295,Rotterdam,Singapore,9947,27,0,Economy,2468
R0296,Rotterdam,Shanghai,10581,32,0,Alternative,2978
R0297,Rotterdam,Ningbo,9996,30,1,Economy,3105
R0298,Rotterdam,Busan,10282,30,0,Express,2397
R0299,Rotterdam,Hong Kong,9273,32,2,Express,2675
R0300,Rotterdam,Dubai,5985,16,0,Standard,1650
R0301,Rotterdam,Hamburg,877,8,3,Express,1000
R0302,Rotterdam,Antwerp,939,3,0,Express,450
R0303,Rotterdam,London,836,4,1,Express,450
R0304,Rotterdam,Felixstowe,901,7,1,Express,574
R0305,Rotterdam,Piraeus,845,4,0,Express,450
R0306,Rotterdam,Barcelona,919,9,3,Standard,876
R0307,Rotterdam,Genoa,907,3,0,Economy,450
R0308,Rotterdam,New York,4206,16,1,Standard,1644
R0309,Rotterdam,Los Angeles,3921,10,0,Standard,1190
R0310,Rotterdam,Long Beach,4080,13,0,Standard,1328
R0311,Rotterdam,Sydney,11483,36,2,Standard,4282
R0312,Rotterdam,Melbourne,10664,36,2,Express,2885
R0313,Rotterdam,Vancouver,3884,14,1,Standard,1427
R0314,Rotterdam,Durban,5634,23,3,Economy,2507
R0315,Rotterdam,Cape Town,5585,21,2,Economy,2431
R0316,Rotterdam,Jeddah,6462,21,1,Economy,1765
R0317,Rotterdam,Muscat,5724,16,0,Standard,1322
R0318,Rotterdam,Suez,5637,21,3,Standard,2032
R0319,Rotterdam,Port Klang,9228,30,2,Alternative,3550
R0320,Hamburg,Chennai,6496,26,3,Alternative,2334
R0321,Hamburg,Mumbai,7064,23,1,Economy,2649
R0322,Hamburg,Kochi,7520,23,2,Standard,2274
R0323,Hamburg,Colombo,7209,22,1,Standard,2159
R0324,Hamburg,Singapore,9466,34,3,Economy,3533
R0325,Hamburg,Shanghai,10120,32,1,Economy,2793
R0326,Hamburg,Ningbo,9387,31,2,Alternative,2987
R0327,Hamburg,Busan,10445,33,1,Express,3228
R0328,Hamburg,Hong Kong,9648,31,1,Express,3092
R0329,Hamburg,Dubai,6318,21,1,Express,2295
R0330,Hamburg,Rotterdam,882,8,2,Economy,902
R0331,Hamburg,Antwerp,893,6,2,Standard,512
R0332,Hamburg,London,912,8,3,Standard,1205
R0333,Hamburg,Felixstowe,953,4,1,Alternative,614
R0334,Hamburg,Piraeus,907,9,3,Economy,940
R0335,Hamburg,Barcelona,898,7,1,Alternative,450
R0336,Hamburg,Genoa,873,3,0,Economy,450
R0337,Hamburg,New York,4055,12,0,Economy,972
R0338,Hamburg,Los Angeles,3907,11,0,Alternative,1123
R0339,Hamburg,Long Beach,4246,14,1,Express,1400
R0340,Hamburg,Sydney,10494,31,0,Alternative,2748
R0341,Hamburg,Melbourne,11113,32,1,Alternative,3910
R0342,Hamburg,Vancouver,3919,12,0,Express,1241
R0343,Hamburg,Durban,5823,16,0,Express,1728
R0344,Hamburg,Cape Town,5552,23,3,Economy,2415
R0345,Hamburg,Jeddah,6268,22,1,Standard,2280
R0346,Hamburg,Muscat,6104,19,0,Express,1631
R0347,Hamburg,Suez,5883,15,0,Standard,1592
R0348,Hamburg,Port Klang,9933,36,3,Standard,3992
R0349,Antwerp,Chennai,6574,18,0,Express,1681
R0350,Antwerp,Mumbai,7511,24,2,Economy,2818
R0351,Antwerp,Kochi,7522,24,2,Alternative,3189
R0352,Antwerp,Colombo,6834,23,1,Standard,1908
R0353,Antwerp,Singapore,10021,31,2,Economy,3050
R0354,Antwerp,Shanghai,9209,27,0,Express,2565
R0355,Antwerp,Ningbo,9369,28,1,Express,2506
R0356,Antwerp,Busan,9807,31,1,Alternative,3570
R0357,Antwerp,Hong Kong,9220,32,2,Alternative,2906
R0358,Antwerp,Dubai,5732,20,1,Express,1620
R0359,Antwerp,Rotterdam,966,6,1,Standard,456
R0360,Antwerp,Hamburg,874,3,0,Economy,450
R0361,Antwerp,London,860,4,0,Alternative,450
R0362,Antwerp,Felixstowe,891,3,0,Express,450
R0363,Antwerp,Piraeus,867,8,3,Express,890
R0364,Antwerp,Barcelona,844,3,1,Economy,450
R0365,Antwerp,Genoa,919,10,3,Alternative,686
R0366,Antwerp,New York,3845,11,0,Express,995
R0367,Antwerp,Los Angeles,4272,12,0,Economy,1404
R0368,Antwerp,Long Beach,4213,17,1,Alternative,1282
R0369,Antwerp,Sydney,11014,33,1,Alternative,3831
R0370,Antwerp,Melbourne,11047,31,0,Express,3649
R0371,Antwerp,Vancouver,3857,13,0,Alternative,1108
R0372,Antwerp,Durban,6203,19,0,Standard,2034
R0373,Antwerp,Cape Town,5996,18,1,Alternative,2064
R0374,Antwerp,Jeddah,6123,16,0,Express,1453
R0375,Antwerp,Muscat,6019,24,3,Standard,2131
R0376,Antwerp,Suez,6328,22,3,Economy,2625
R0377,Antwerp,Port Klang,9963,33,3,Express,3488
R0378,London,Chennai,6481,23,2,Express,2484
R0379,London,Mumbai,7022,21,1,Standard,2476
R0380,London,Kochi,7370,24,1,Economy,2597
R0381,London,Colombo,7418,25,2,Economy,2337
R0382,London,Singapore,10060,31,0,Alternative,2561
R0383,London,Shanghai,9469,29,1,Express,3277
R0384,London,Ningbo,9354,30,2,Alternative,3539
R0385,London,Busan,10122,32,1,Alternative,2765
R0386,London,Hong Kong,9350,26,0,Standard,2629
R0387,London,Dubai,6001,18,1,Standard,1783
R0388,London,Rotterdam,906,3,0,Alternative,450
R0389,London,Hamburg,885,11,3,Standard,862
R0390,London,Antwerp,914,5,1,Standard,603
R0391,London,Felixstowe,880,7,1,Alternative,587
R0392,London,Piraeus,969,11,3,Express,652
R0393,London,Barcelona,875,3,0,Express,450
R0394,London,Genoa,830,3,0,Alternative,450
R0395,London,New York,4108,12,0,Alternative,1124
R0396,London,Los Angeles,3970,10,0,Standard,1193
R0397,London,Long Beach,4267,15,1,Express,1469
R0398,London,Sydney,11213,34,1,Standard,3457
R0399,London,Melbourne,10189,28,0,Express,2531
R0400,London,Vancouver,4060,12,1,Express,1535
R0401,London,Durban,5662,18,0,Alternative,1873
R0402,London,Cape Town,5797,18,0,Standard,1516
R0403,London,Jeddah,6106,20,1,Alternative,1821
R0404,London,Muscat,5872,20,1,Express,1832
R0405,London,Suez,5550,17,1,Alternative,1958
R0406,London,Port Klang,10137,27,0,Express,3393
R0407,Felixstowe,Chennai,7063,21,1,Express,2567
R0408,Felixstowe,Mumbai,6504,19,0,Alternative,1929
R0409,Felixstowe,Kochi,6933,22,0,Economy,1865
R0410,Felixstowe,Colombo,6562,19,0,Alternative,1992
R0411,Felixstowe,Singapore,10281,33,1,Express,3239
R0412,Felixstowe,Shanghai,10570,35,3,Economy,3947
R0413,Felixstowe,Ningbo,10664,32,0,Economy,2458
R0414,Felixstowe,Busan,10080,28,0,Economy,3419
R0415,Felixstowe,Hong Kong,9869,36,3,Express,3520
R0416,Felixstowe,Dubai,6338,21,2,Economy,2084
R0417,Felixstowe,Rotterdam,884,6,1,Economy,494
R0418,Felixstowe,Hamburg,950,5,1,Economy,450
R0419,Felixstowe,Antwerp,944,6,1,Economy,561
R0420,Felixstowe,London,876,11,3,Alternative,848
R0421,Felixstowe,Piraeus,956,3,0,Standard,450
R0422,Felixstowe,Barcelona,871,5,1,Express,528
R0423,Felixstowe,Genoa,947,7,2,Economy,759
R0424,Felixstowe,New York,4113,15,1,Standard,1309
R0425,Felixstowe,Los Angeles,3942,14,1,Economy,1448
R0426,Felixstowe,Long Beach,4243,14,1,Economy,1664
R0427,Felixstowe,Sydney,11873,34,1,Standard,3496
R0428,Felixstowe,Melbourne,10252,29,1,Alternative,3643
R0429,Felixstowe,Vancouver,3900,14,1,Economy,1430
R0430,Felixstowe,Durban,6011,19,1,Alternative,1666
R0431,Felixstowe,Cape Town,6099,21,1,Standard,1510
R0432,Felixstowe,Jeddah,5814,23,2,Standard,1841
R0433,Felixstowe,Muscat,6083,20,2,Standard,2214
R0434,Felixstowe,Suez,6064,24,3,Alternative,2062
R0435,Felixstowe,Port Klang,9433,27,1,Standard,2591
R0436,Piraeus,Chennai,7025,27,3,Economy,2584
R0437,Piraeus,Mumbai,7168,23,2,Express,2177
R0438,Piraeus,Kochi,6630,23,1,Standard,2332
R0439,Piraeus,Colombo,6831,20,1,Economy,1937
R0440,Piraeus,Singapore,10132,27,0,Economy,2596
R0441,Piraeus,Shanghai,9270,28,1,Alternative,3357
R0442,Piraeus,Ningbo,9929,32,1,Express,3168
R0443,Piraeus,Busan,9308,31,2,Economy,3150
R0444,Piraeus,Hong Kong,9695,30,2,Economy,3400
R0445,Piraeus,Dubai,5687,17,1,Economy,2090
R0446,Piraeus,Rotterdam,885,4,1,Standard,473
R0447,Piraeus,Hamburg,886,3,0,Standard,450
R0448,Piraeus,Antwerp,863,3,0,Economy,450
R0449,Piraeus,London,868,5,0,Express,450
R0450,Piraeus,Felixstowe,841,5,1,Alternative,540
R0451,Piraeus,Barcelona,944,3,0,Express,450
R0452,Piraeus,Genoa,919,4,1,Alternative,450
R0453,Piraeus,New York,3825,15,1,Alternative,1552
R0454,Piraeus,Los Angeles,4256,15,1,Express,1398
R0455,Piraeus,Long Beach,3816,18,3,Standard,1870
R0456,Piraeus,Sydney,10596,34,3,Economy,3685
R0457,Piraeus,Melbourne,10667,33,1,Standard,3523
R0458,Piraeus,Vancouver,3885,14,2,Standard,1896
R0459,Piraeus,Durban,6000,17,1,Alternative,1742
R0460,Piraeus,Cape Town,5797,22,3,Economy,2587
R0461,Piraeus,Jeddah,5966,23,2,Alternative,1874
R0462,Piraeus,Muscat,6172,24,2,Express,1997
R0463,Piraeus,Suez,6191,17,0,Economy,1852
R0464,Piraeus,Port Klang,9666,31,1,Alternative,2376
R0465,Barcelona,Chennai,7122,24,1,Alternative,2049
R0466,Barcelona,Mumbai,6484,21,1,Alternative,1881
R0467,Barcelona,Kochi,7243,24,1,Economy,2463
R0468,Barcelona,Colombo,6441,26,3,Express,2848
R0469,Barcelona,Singapore,10172,30,0,Alternative,2381
R0470,Barcelona,Shanghai,9536,29,1,Standard,3265
R0471,Barcelona,Ningbo,10185,29,0,Express,2734
R0472,Barcelona,Busan,9878,30,1,Economy,3159
R0473,Barcelona,Hong Kong,9885,30,1,Alternative,2822
R0474,Barcelona,Dubai,6195,22,3,Express,2433
R0475,Barcelona,Rotterdam,920,4,1,Express,450
R0476,Barcelona,Hamburg,878,4,0,Alternative,450
R0477,Barcelona,Antwerp,930,6,2,Economy,701
R0478,Barcelona,London,928,4,0,Express,450
R0479,Barcelona,Felixstowe,848,4,1,Alternative,511
R0480,Barcelona,Piraeus,889,4,0,Alternative,450
R0481,Barcelona,Genoa,886,4,0,Standard,450
R0482,Barcelona,New York,3812,10,0,Express,923
R0483,Barcelona,Los Angeles,3967,11,0,Alternative,1117
R0484,Barcelona,Long Beach,3865,11,1,Standard,1438
R0485,Barcelona,Sydney,11441,35,0,Express,3341
R0486,Barcelona,Melbourne,11255,33,1,Economy,3363
R0487,Barcelona,Vancouver,3910,12,0,Express,1302
